Date,Ground / Location,Match Number,Team A,Team B,winner,Wins By Runs,Wins By Wickets,Season
2019-03-23,Chennai,1st Match, Chennai Super Kings , Royal Challengers Bangalore,Chennai Super Kings,0,7,2019
2019-03-24,Kolkata,2nd Match, Kolkata Knight Riders , Sunrisers Hyderabad,Kolkata Knight Riders,0,6,2019
2019-03-24,Mumbai,3rd Match, Mumbai Indians , Delhi Capitals,Delhi Capitals,37,0,2019
2019-03-25,Jaipur,4th Match, Rajasthan Royals , Kings XI Punjab,Kings XI Punjab,14,0,2019
2019-03-26,Delhi,5th Match, Delhi Capitals , Chennai Super Kings,Chennai Super Kings,0,6,2019
2019-03-27,Kolkata,6th Match, Kolkata Knight Riders , Kings XI Punjab,Kolkata Knight Riders,28,0,2019
2019-03-28,"Bengaluru, Bangalore",7th Match, Royal Challengers Bangalore , Mumbai Indians,Mumbai Indians,6,0,2019
2019-03-29,Hyderabad,8th Match, Sunrisers Hyderabad , Rajasthan Royals,Sunrisers Hyderabad,0,5,2019
2019-03-30,Delhi,10th Match, Delhi Capitals , Kolkata Knight Riders,Delhi Capitals,0,0,2019
2019-03-30,"Mohali, Chandigarh",9th Match, Kings XI Punjab , Mumbai Indians,Kings XI Punjab,0,8,2019
2019-03-31,Hyderabad,11th Match, Sunrisers Hyderabad , Royal Challengers Bangalore,Sunrisers Hyderabad,118,0,2019
2019-03-31,Chennai,12th Match, Chennai Super Kings , Rajasthan Royals,Chennai Super Kings,8,0,2019
2019-01-04,"Mohali, Chandigarh",13th Match, Kings XI Punjab , Delhi Capitals,Kings XI Punjab,14,0,2019
2019-02-04,Jaipur,14th Match, Rajasthan Royals , Royal Challengers Bangalore,Rajasthan Royals,0,7,2019
2019-03-04,Mumbai,15th Match, Mumbai Indians , Chennai Super Kings,Mumbai Indians,37,0,2019
2019-04-04,Delhi,16th Match, Delhi Capitals , Sunrisers Hyderabad,Sunrisers Hyderabad,0,5,2019
2019-05-04,"Bengaluru, Bangalore",17th Match, Royal Challengers Bangalore , Kolkata Knight Riders,Kolkata Knight Riders,0,5,2019
2019-06-04,Chennai,18th Match, Chennai Super Kings , Kings XI Punjab,Chennai Super Kings,22,0,2019
2019-06-04,Hyderabad,19th Match, Sunrisers Hyderabad , Mumbai Indians,Mumbai Indians,40,0,2019
2019-07-04,"Bengaluru, Bangalore",20th Match, Royal Challengers Bangalore , Delhi Capitals,Delhi Capitals,0,4,2019
2019-07-04,Jaipur,21st Match, Rajasthan Royals , Kolkata Knight Riders,Kolkata Knight Riders,0,8,2019
2019-08-04,"Mohali, Chandigarh",22nd Match, Kings XI Punjab , Sunrisers Hyderabad,Kings XI Punjab,0,6,2019
2019-09-04,Chennai,23rd Match, Chennai Super Kings , Kolkata Knight Riders,Chennai Super Kings,0,7,2019
2019-10-04,Mumbai,24th Match, Mumbai Indians , Kings XI Punjab,Mumbai Indians,0,3,2019
2019-11-04,Jaipur,25th Match, Rajasthan Royals , Chennai Super Kings,Chennai Super Kings,0,4,2019
2019-12-04,Kolkata,26th Match, Kolkata Knight Riders , Delhi Capitals,Delhi Capitals,0,7,2019
2019-04-13,Mumbai,27th Match, Mumbai Indians , Rajasthan Royals,Rajasthan Royals,0,4,2019
2019-04-13,"Mohali, Chandigarh",28th Match, Kings XI Punjab , Royal Challengers Bangalore,Royal Challengers Bangalore,0,8,2019
2019-04-14,Kolkata,29th Match, Kolkata Knight Riders , Chennai Super Kings,Chennai Super Kings,0,5,2019
2019-04-14,Hyderabad,30th Match, Sunrisers Hyderabad , Delhi Capitals,Delhi Capitals,39,0,2019
2019-04-15,Mumbai,31st Match, Mumbai Indians , Royal Challengers Bangalore,Mumbai Indians,0,5,2019
2019-04-16,"Mohali, Chandigarh",32nd Match, Kings XI Punjab , Rajasthan Royals,Kings XI Punjab,12,0,2019
2019-04-17,Hyderabad,33rd Match, Sunrisers Hyderabad , Chennai Super Kings,Sunrisers Hyderabad,0,6,2019
2019-04-18,Delhi,34th Match, Delhi Capitals , Mumbai Indians,Mumbai Indians,40,0,2019
2019-04-19,Kolkata,35th Match, Kolkata Knight Riders , Royal Challengers Bangalore,Royal Challengers Bangalore,10,0,2019
2019-04-20,Jaipur,36th Match, Rajasthan Royals , Mumbai Indians,Rajasthan Royals,0,5,2019
2019-04-20,Delhi,37th Match, Delhi Capitals , Kings XI Punjab,Delhi Capitals,0,5,2019
2019-04-21,Hyderabad,38th Match, Sunrisers Hyderabad , Kolkata Knight Riders,Sunrisers Hyderabad,0,9,2019
2019-04-21,"Bengaluru, Bangalore",39th Match, Royal Challengers Bangalore , Chennai Super Kings,Royal Challengers Bangalore,1,0,2019
2019-04-22,Jaipur,40th Match, Rajasthan Royals , Delhi Capitals,Delhi Capitals,0,6,2019
2019-04-23,Chennai,41st Match, Chennai Super Kings , Sunrisers Hyderabad,Chennai Super Kings,0,6,2019
2019-04-24,"Bengaluru, Bangalore",42nd Match, Royal Challengers Bangalore , Kings XI Punjab,Royal Challengers Bangalore,17,0,2019
2019-04-25,Kolkata,43rd Match, Kolkata Knight Riders , Rajasthan Royals,Rajasthan Royals,0,3,2019
2019-04-26,Chennai,44th Match, Chennai Super Kings , Mumbai Indians,Mumbai Indians,46,0,2019
2019-04-27,Jaipur,45th Match, Rajasthan Royals , Sunrisers Hyderabad,Rajasthan Royals,0,7,2019
2019-04-28,Delhi,46th Match, Delhi Capitals , Royal Challengers Bangalore,Delhi Capitals,16,0,2019
2019-04-28,Kolkata,47th Match, Kolkata Knight Riders , Mumbai Indians,Kolkata Knight Riders,34,0,2019
2019-04-29,Hyderabad,48th Match, Sunrisers Hyderabad , Kings XI Punjab,Sunrisers Hyderabad,45,0,2019
2019-04-30,"Bengaluru, Bangalore",49th Match, Royal Challengers Bangalore , Rajasthan Royals,No result,0,0,2019
2019-01-05,Chennai,50th Match, Chennai Super Kings , Delhi Capitals,Chennai Super Kings,80,0,2019
2019-02-05,Mumbai,51st Match, Mumbai Indians , Sunrisers Hyderabad,Mumbai Indians,0,0,2019
2019-03-05,"Mohali, Chandigarh",52nd Match, Kings XI Punjab , Kolkata Knight Riders,Kolkata Knight Riders,0,7,2019
2019-04-05,Delhi,53rd Match, Delhi Capitals , Rajasthan Royals,Delhi Capitals,0,5,2019
2019-04-05,"Bengaluru, Bangalore",54th Match, Royal Challengers Bangalore , Sunrisers Hyderabad,Royal Challengers Bangalore,0,4,2019
2019-05-05,"Mohali, Chandigarh",55th Match, Kings XI Punjab , Chennai Super Kings,Kings XI Punjab,0,6,2019
2019-05-05,Mumbai,56th Match, Mumbai Indians , Kolkata Knight Riders,Mumbai Indians,0,9,2019
2019-07-05,Chennai,1st Qualifying Final, Chennai Super Kings , Mumbai Indians,Mumbai Indians,0,6,2019
2019-08-05,Visakhapatnam,Elimination Final, Delhi Capitals , Sunrisers Hyderabad,Delhi Capitals,0,2,2019
2019-10-05,Visakhapatnam,2nd Qualifying Final, Chennai Super Kings , Delhi Capitals,Chennai Super Kings,0,6,2019
2019-12-05,Hyderabad,Final, Chennai Super Kings , Mumbai Indians,Mumbai Indians,1,0,2019
2018-07-04,Mumbai,1st Match, Mumbai Indians , Chennai Super Kings,Chennai Super Kings,0,1,2018
2018-08-04,"Mohali, Chandigarh",2nd Match, Kings XI Punjab , Delhi Capitals,Kings XI Punjab,0,6,2018
2018-08-04,Kolkata,3rd Match, Kolkata Knight Riders , Royal Challengers Bangalore,Kolkata Knight Riders,0,4,2018
2018-09-04,Hyderabad,4th Match, Sunrisers Hyderabad , Rajasthan Royals,Sunrisers Hyderabad,0,9,2018
2018-10-04,Chennai,5th Match, Chennai Super Kings , Kolkata Knight Riders,Chennai Super Kings,0,5,2018
2018-11-04,Jaipur,6th Match, Rajasthan Royals , Delhi Capitals,Rajasthan Royals,10,0,2018
2018-12-04,Hyderabad,7th Match, Mumbai Indians , Sunrisers Hyderabad,Sunrisers Hyderabad,0,1,2018
2018-04-13,"Bengaluru, Bangalore",8th Match, Kings XI Punjab , Royal Challengers Bangalore,Royal Challengers Bangalore,0,4,2018
2018-04-14,Kolkata,10th Match, Kolkata Knight Riders , Sunrisers Hyderabad,Sunrisers Hyderabad,0,5,2018
2018-04-14,Mumbai,9th Match, Mumbai Indians , Delhi Capitals,Delhi Capitals,0,7,2018
2018-04-15,"Bengaluru, Bangalore",11th Match, Royal Challengers Bangalore , Rajasthan Royals,Rajasthan Royals,19,0,2018
2018-04-15,"Mohali, Chandigarh",12th Match, Kings XI Punjab , Chennai Super Kings,Kings XI Punjab,4,0,2018
2018-04-16,Kolkata,13th Match, Kolkata Knight Riders , Delhi Capitals,Kolkata Knight Riders,71,0,2018
2018-04-17,Mumbai,14th Match, Mumbai Indians , Royal Challengers Bangalore,Mumbai Indians,46,0,2018
2018-04-18,Jaipur,15th Match, Rajasthan Royals , Kolkata Knight Riders,Kolkata Knight Riders,0,7,2018
2018-04-19,"Mohali, Chandigarh",16th Match, Kings XI Punjab , Sunrisers Hyderabad,Kings XI Punjab,15,0,2018
2018-04-20,Pune,17th Match, Rajasthan Royals , Chennai Super Kings,Chennai Super Kings,64,0,2018
2018-04-21,Kolkata,18th Match, Kolkata Knight Riders , Kings XI Punjab,Kings XI Punjab,0,9,2018
